Security Code,Type,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name,Date,Open,High,Low,Close,Adj Close,Volume
524208.0,BSE,Aarti Industries Ltd,AARTIIND,AARTI INDUSTRIES LTD.,Active,A ,5.0,INE769A01020,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
524208.0,BSE,Aarti Industries Ltd,AARTIIND,AARTI INDUSTRIES LTD.,Active,A ,5.0,INE769A01020,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
524208.0,BSE,Aarti Industries Ltd,AARTIIND,AARTI INDUSTRIES LTD.,Active,A ,5.0,INE769A01020,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
524208.0,BSE,Aarti Industries Ltd,AARTIIND,AARTI INDUSTRIES LTD.,Active,A ,5.0,INE769A01020,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
524208.0,BSE,Aarti Industries Ltd,AARTIIND,AARTI INDUSTRIES LTD.,Active,A ,5.0,INE769A01020,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
524208.0,BSE,Aarti Industries Ltd,AARTIIND,AARTI INDUSTRIES LTD.,Active,A ,5.0,INE769A01020,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
524208.0,BSE,Aarti Industries Ltd,AARTIIND,AARTI INDUSTRIES LTD.,Active,A ,5.0,INE769A01020,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
524208.0,BSE,Aarti Industries Ltd,AARTIIND,AARTI INDUSTRIES LTD.,Active,A ,5.0,INE769A01020,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
524208.0,BSE,Aarti Industries Ltd,AARTIIND,AARTI INDUSTRIES LTD.,Active,A ,5.0,INE769A01020,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
524208.0,BSE,Aarti Industries Ltd,AARTIIND,AARTI INDUSTRIES LTD.,Active,A ,5.0,INE769A01020,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
524208.0,BSE,Aarti Industries Ltd,AARTIIND,AARTI INDUSTRIES LTD.,Active,A ,5.0,INE769A01020,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
524208.0,BSE,Aarti Industries Ltd,AARTIIND,AARTI INDUSTRIES LTD.,Active,A ,5.0,INE769A01020,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
524208.0,BSE,Aarti Industries Ltd,AARTIIND,AARTI INDUSTRIES LTD.,Active,A ,5.0,INE769A01020,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
524208.0,BSE,Aarti Industries Ltd,AARTIIND,AARTI INDUSTRIES LTD.,Active,A ,5.0,INE769A01020,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
524208.0,BSE,Aarti Industries Ltd,AARTIIND,AARTI INDUSTRIES LTD.,Active,A ,5.0,INE769A01020,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
524208.0,BSE,Aarti Industries Ltd,AARTIIND,AARTI INDUSTRIES LTD.,Active,A ,5.0,INE769A01020,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
524208.0,BSE,Aarti Industries Ltd,AARTIIND,AARTI INDUSTRIES LTD.,Active,A ,5.0,INE769A01020,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
524208.0,BSE,Aarti Industries Ltd,AARTIIND,AARTI INDUSTRIES LTD.,Active,A ,5.0,INE769A01020,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
524208.0,BSE,Aarti Industries Ltd,AARTIIND,AARTI INDUSTRIES LTD.,Active,A ,5.0,INE769A01020,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
524208.0,BSE,Aarti Industries Ltd,AARTIIND,AARTI INDUSTRIES LTD.,Active,A ,5.0,INE769A01020,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
524208.0,BSE,Aarti Industries Ltd,AARTIIND,AARTI INDUSTRIES LTD.,Active,A ,5.0,INE769A01020,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
524208.0,BSE,Aarti Industries Ltd,AARTIIND,AARTI INDUSTRIES LTD.,Active,A ,5.0,INE769A01020,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
524208.0,BSE,Aarti Industries Ltd,AARTIIND,AARTI INDUSTRIES LTD.,Active,A ,5.0,INE769A01020,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
524208.0,BSE,Aarti Industries Ltd,AARTIIND,AARTI INDUSTRIES LTD.,Active,A ,5.0,INE769A01020,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
524208.0,BSE,Aarti Industries Ltd,AARTIIND,AARTI INDUSTRIES LTD.,Active,A ,5.0,INE769A01020,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
524208.0,BSE,Aarti Industries Ltd,AARTIIND,AARTI INDUSTRIES LTD.,Active,A ,5.0,INE769A01020,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
524208.0,BSE,Aarti Industries Ltd,AARTIIND,AARTI INDUSTRIES LTD.,Active,A ,5.0,INE769A01020,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
524208.0,BSE,Aarti Industries Ltd,AARTIIND,AARTI INDUSTRIES LTD.,Active,A ,5.0,INE769A01020,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
524208.0,BSE,Aarti Industries Ltd,AARTIIND,AARTI INDUSTRIES LTD.,Active,A ,5.0,INE769A01020,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
524208.0,BSE,Aarti Industries Ltd,AARTIIND,AARTI INDUSTRIES LTD.,Active,A ,5.0,INE769A01020,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
524208.0,BSE,Aarti Industries Ltd,AARTIIND,AARTI INDUSTRIES LTD.,Active,A ,5.0,INE769A01020,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
524208.0,BSE,Aarti Industries Ltd,AARTIIND,AARTI INDUSTRIES LTD.,Active,A ,5.0,INE769A01020,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
524208.0,BSE,Aarti Industries Ltd,AARTIIND,AARTI INDUSTRIES LTD.,Active,A ,5.0,INE769A01020,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
524208.0,BSE,Aarti Industries Ltd,AARTIIND,AARTI INDUSTRIES LTD.,Active,A ,5.0,INE769A01020,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
524208.0,BSE,Aarti Industries Ltd,AARTIIND,AARTI INDUSTRIES LTD.,Active,A ,5.0,INE769A01020,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
524208.0,BSE,Aarti Industries Ltd,AARTIIND,AARTI INDUSTRIES LTD.,Active,A ,5.0,INE769A01020,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
524208.0,BSE,Aarti Industries Ltd,AARTIIND,AARTI INDUSTRIES LTD.,Active,A ,5.0,INE769A01020,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
524208.0,BSE,Aarti Industries Ltd,AARTIIND,AARTI INDUSTRIES LTD.,Active,A ,5.0,INE769A01020,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
524208.0,BSE,Aarti Industries Ltd,AARTIIND,AARTI INDUSTRIES LTD.,Active,A ,5.0,INE769A01020,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
524208.0,BSE,Aarti Industries Ltd,AARTIIND,AARTI INDUSTRIES LTD.,Active,A ,5.0,INE769A01020,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
524208.0,BSE,Aarti Industries Ltd,AARTIIND,AARTI INDUSTRIES LTD.,Active,A ,5.0,INE769A01020,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
524208.0,BSE,Aarti Industries Ltd,AARTIIND,AARTI INDUSTRIES LTD.,Active,A ,5.0,INE769A01020,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
524208.0,BSE,Aarti Industries Ltd,AARTIIND,AARTI INDUSTRIES LTD.,Active,A ,5.0,INE769A01020,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
524208.0,BSE,Aarti Industries Ltd,AARTIIND,AARTI INDUSTRIES LTD.,Active,A ,5.0,INE769A01020,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
524208.0,BSE,Aarti Industries Ltd,AARTIIND,AARTI INDUSTRIES LTD.,Active,A ,5.0,INE769A01020,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
524208.0,BSE,Aarti Industries Ltd,AARTIIND,AARTI INDUSTRIES LTD.,Active,A ,5.0,INE769A01020,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
524208.0,BSE,Aarti Industries Ltd,AARTIIND,AARTI INDUSTRIES LTD.,Active,A ,5.0,INE769A01020,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,,,,,,
